tax_id	GeneID	GO_ID	Evidence	Qualifier	GO_termPubMed	Category
39946	4126902	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	4126903	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	4126903	GO:0005739	RCA	-	mitochondrion	-	Component
39946	4126905	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	4126907	GO:0009536	IC	-	plastid	12520024	Component
39946	4126907	GO:0016020	RCA	-	membrane	-	Component
39946	4126907	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39946	4126908	GO:0009536	IC	-	plastid	12520024	Component
39946	4126909	GO:0009536	IC	-	plastid	12520024	Component
39946	4126909	GO:0016020	RCA	-	membrane	-	Component
39946	4126909	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39946	4126910	GO:0009536	IC	-	plastid	12520024	Component
39946	4126911	GO:0009536	IC	-	plastid	12520024	Component
39946	4126911	GO:0016020	RCA	-	membrane	-	Component
39946	4126911	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39946	4126912	GO:0009536	IC	-	plastid	12520024	Component
39946	4126912	GO:0016020	RCA	-	membrane	-	Component
39946	4126912	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39946	4126913	GO:0009536	IC	-	plastid	12520024	Component
39946	4126913	GO:0016020	RCA	-	membrane	-	Component
39946	4126914	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	4126916	GO:0005739	RCA	-	mitochondrion	-	Component
39946	4126916	GO:0009536	IC	-	plastid	12520024	Component
39946	4126916	GO:0016020	RCA	-	membrane	-	Component
39946	4126917	GO:0009536	IC	-	plastid	12520024	Component
39946	4126917	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39946	4126918	GO:0009536	IC	-	plastid	12520024	Component
39946	4126918	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39946	4126919	GO:0009536	IC	-	plastid	12520024	Component
39946	4126919	GO:0016020	RCA	-	membrane	-	Component
39946	4126920	GO:0009536	IC	-	plastid	12520024	Component
39946	4126920	GO:0016020	RCA	-	membrane	-	Component
39946	4126921	GO:0009536	IC	-	plastid	12520024	Component
39946	4126921	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
